514341,Mr.,Antonio,Q,Joy,M,antonio.joy@yahoo.com,Clark Joy,Clarisa Joy,Gagliardi,12/24/1989,08:01:44 AM,27.61,55,8/2/2011,Q3,H2,2011,8,August,Aug,2,Tuesday,Tue,5.99,53504,30%,646-23-6213,229-234-6154,Rocky Ford,Screven,Rocky Ford,GA,30455,South,aqjoy,7_[%FE;saZ:B
314598,Prof.,Sebastian,J,Moores,M,sebastian.moores@ibm.com,Everette Moores,Sol Moores,Paden,9/23/1980,01:42:17 AM,36.87,62,4/1/2012,Q2,H1,2012,4,April,Apr,1,Sunday,Sun,5.33,158859,3%,499-29-8139,212-231-9912,Antwerp,Jefferson,Antwerp,NY,13608,Northeast,sjmoores,Z0:_dR*OQhQlF
987773,Mr.,Alec,S,Rittenhouse,M,alec.rittenhouse@gmail.com,Jefferey Rittenhouse,Moira Rittenhouse,Clanton,6/1/1974,07:39:19 AM,43.19,65,3/19/1998,Q1,H1,1998,3,March,Mar,19,Thursday,Thu,19.37,76105,2%,204-84-0943,229-873-6796,Milledgeville,Milledgeville,Milledgeville,GA,31059,South,asrittenhouse,7#?GLEd0
690850,Mr.,Reggie,C,Doughty,M,reggie.doughty@gmail.com,Jerrod Doughty,Crista Doughty,Abron,11/27/1966,06:02:39 AM,50.7,61,1/4/2010,Q1,H1,2010,1,January,Jan,4,Monday,Mon,7.57,134436,8%,321-11-0416,314-677-4501,Springfield,Greene,Springfield,MO,65809,Midwest,rcdoughty,4~1!+LP^O
358257,Prof.,Elisha,B,Bottom,M,elisha.bottom@yahoo.com,Nicolas Bottom,Nu Bottom,Yuhas,9/23/1972,10:02:33 PM,44.87,82,5/22/2015,Q2,H1,2015,5,May,May,22,Friday,Fri,2.19,119237,22%,517-49-8835,206-233-8897,Dryden,Chelan,Dryden,WA,98821,West,ebbottom,H5OB-]tc|BsEJfc
303899,Mr.,Danilo,R,Irwin,M,danilo.irwin@gmail.com,Ron Irwin,Angelina Irwin,Mcwilliams,12/22/1964,09:21:46 PM,52.63,52,2/14/1994,Q1,H1,1994,2,February,Feb,14,Monday,Mon,23.47,115449,25%,605-87-8120,319-326-7935,Urbandale,Polk,Urbandale,IA,50323,Midwest,drirwin,qd7XF[m5
901163,Ms.,Madalene,D,Dierks,F,madalene.dierks@yahoo.com,Efren Dierks,Rebbeca Dierks,Grosse,10/29/1957,03:51:08 AM,59.79,43,3/21/2011,Q1,H1,2011,3,March,Mar,21,Monday,Mon,6.36,104968,6%,050-02-8165,503-778-8049,Deer Island,Columbia,Deer Island,OR,97054,West,mddierks,4f_N7?%\C!9sQ6&
640135,Drs.,Micheal,W,Campanella,F,micheal.campanella@gmail.com,Spencer Campanella,Lila Campanella,Bledsoe,11/15/1969,07:08:21 AM,47.73,44,9/13/2001,Q3,H2,2001,9,September,Sep,13,Thursday,Thu,15.88,71948,7%,204-84-1953,216-821-3070,Leavittsburg,Trumbull,Leavittsburg,OH,44430,Midwest,mwcampanella,z*oPtJAxWR_+
775378,Mrs.,Wilma,V,Trail,F,wilma.trail@yahoo.com,Emilio Trail,Jeanette Trail,Teeter,11/28/1966,12:59:17 PM,50.7,40,7/19/1998,Q3,H2,1998,7,July,Jul,19,Sunday,Sun,19.04,114397,23%,405-73-1471,505-988-5623,Organ,Doña Ana,Organ,NM,88052,West,wvtrail,eZb/+LWH!b
257614,Prof.,Jorge,K,Mohamed,M,jorge.mohamed@exxonmobil.com,Cole Mohamed,Carisa Mohamed,Braman,6/23/1970,02:05:43 PM,47.13,55,10/31/2013,Q4,H2,2013,10,October,Oct,31,Thursday,Thu,3.74,106883,2%,486-29-1020,262-939-1044,Houlton,St. Croix,Houlton,WI,54082,Midwest,jkmohamed,at1tz:1}
313674,Mr.,Isaac,G,Cumberland,M,isaac.cumberland@rediffmail.com,Andrew Cumberland,Epifania Cumberland,Phaneuf,9/15/1982,04:53:01 PM,34.89,86,5/4/2005,Q2,H1,2005,5,May,May,4,Wednesday,Wed,12.24,79923,14%,059-02-6964,209-304-3773,El Monte,Los Angeles,El Monte,CA,91734,West,igcumberland,uufj~T5oCPgG#Xs
359415,Mr.,Emerson,E,Rayner,M,emerson.rayner@gmail.com,Harland Rayner,Shayne Rayner,Smart,2/22/1972,09:35:54 AM,45.46,75,5/24/1993,Q2,H1,1993,5,May,May,24,Monday,Mon,24.19,179309,16%,376-37-5492,316-451-6275,Shawnee Mission,Johnson,Shawnee Mission,KS,66218,Midwest,eerayner,dIX1v7B:SM8+%N9
858207,Mr.,Booker,G,Olmo,M,booker.olmo@yahoo.com,Jamaal Olmo,Carie Olmo,Hartman,5/17/1980,10:12:55 PM,37.22,82,11/17/2006,Q4,H2,2006,11,November,Nov,17,Friday,Fri,10.7,55634,7%,567-99-2442,236-384-0434,Edwardsville,Northumberland,Edwardsville,VA,22456,South,bgolmo,z\.FP1#b
731568,Prof.,Margarito,B,Cushman,M,margarito.cushman@microsoft.com,Russell Cushman,Jenice Cushman,Tanksley,1/7/1990,02:11:52 PM,27.57,61,5/22/2014,Q2,H1,2014,5,May,May,22,Thursday,Thu,3.19,173211,30%,142-23-1764,503-264-1465,Rickreall,Polk,Rickreall,OR,97371,West,mbcushman,QYUnS&n{tweL6
502271,Ms.,Debbie,P,Diebold,F,debbie.diebold@bp.com,Ed Diebold,Rona Diebold,Krawczyk,2/20/1984,03:37:53 PM,33.46,60,12/31/2010,Q4,H2,2010,12,December,Dec,31,Friday,Fri,6.58,90824,30%,327-11-1682,219-549-4320,Schererville,Lake,Schererville,IN,46375,Midwest,dpdiebold,8i1LdMt+>X$~4u
517798,Mr.,Michal,I,Sturtevant,M,michal.sturtevant@btinternet.com,Lindsey Sturtevant,Evelyn Sturtevant,Bartels,2/11/1974,10:24:22 AM,43.49,89,10/6/1995,Q4,H2,1995,10,October,Oct,6,Friday,Fri,21.82,196959,18%,221-13-0103,803-374-2594,Greenville,Greenville,Greenville,SC,29606,South,misturtevant,Tvl_tTFC|3u
210529,Mrs.,Jonnie,K,Wingate,F,jonnie.wingate@aol.com,Orlando Wingate,Yen Wingate,Journey,10/2/1977,11:31:55 AM,39.85,44,3/2/2000,Q1,H1,2000,3,March,Mar,2,Thursday,Thu,17.42,51630,17%,007-11-3356,270-434-9928,Saint Catharine,Washington,Saint Catharine,KY,40061,South,jkwingate,zEy]_0SSqB
747735,Prof.,Wilbert,D,Delaune,M,wilbert.delaune@gmail.com,Elton Delaune,Karma Delaune,Clough,1/8/1978,02:53:15 PM,39.58,67,7/1/2003,Q3,H2,2003,7,July,Jul,1,Tuesday,Tue,14.08,78386,29%,424-65-4811,210-617-3925,Houston,Harris,Houston,TX,77007,South,wddelaune,X.SB}72r}}dpZ?}
